mr3k3 x
41.91451 8331920
41.91446 8369603
41.91421 8337473
41.91431 8375981
41.914 8341006
17.843965 3586773
17.843955 3568785
17.84423 3568844
17.844355 3587533
17.844235 3591665
mr3k3 y
31.06593 6184462
31.065725 6213142
31.06544 6213090
31.06533 6213066
31.06527 6213054
27.03902 5456920
27.037385 5412792
27.03658 5407314
27.036685 5407339
27.036755 5407351
mr3k3 rX
85986.754352 47888446
85985.454048 47890141
85982.079364 47874211
85985.238528 47880983
85985.721652 47880974
86302.034968 48040633
86303.281392 48052364
86300.982512 48049249
86300.957368 48048090
86300.3593 48045318
mr4k3 x
21446.462195 5683369
21446.46237 5674835
21446.46226 5676615
21446.45881 5681428
21446.45884 5687321
21442.41682 6452757
21442.415465 6452974
21442.415285 6449937
21442.41533 6445315
21442.415115 6441257
mr4k3 y
42.196415 8439283
42.196345 8436478
42.1965 8439299
42.196445 8439291
42.19642 8415484
18.18471 3647509
18.18446 3636892
18.184395 3636881
18.184355 3636870
18.18446 3655112
mr4k3 rY
128378.628384 50703706
128374.96769 50702460
128374.69934 50703036
128381.921995 50711816
128375.033512 50701659
128055.031677 50589380
128057.578466 50593878
128056.95063 50589561
128057.712641 50584313
128059.107553 50591895
